NOM_PROV,DESC_SECTOR,DESC_GENERO,RANGO_EDAD
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,<25  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,<25  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,<25  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,<25  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Mujer,<25  
CASTELLÓN,Servicios,Hombre,>44  
CASTELLÓN,Servicios,Hombre,<25  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,>44  
CASTELLÓN,Servicios,Hombre,<25  
CASTELLÓN,Servicios,Mujer,<25  
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,<25  
CASTELLÓN,Servicios,Mujer,<25  
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Hombre,25-44
CASTELLÓN,Servicios,Mujer,25-44
